Step,Type,Feeder_ID_1,Feeder_ID_2,Mount_ID_1,Mount_ID_2,From_X,From_Y,Pick_1_X,Pick_1_Y,Pick_2_X,Pick_2_Y,Place_1_X,Place_1_Y,Place_2_X,Place_2_Y,FeederGap_mm,InternalDist_mm,Segment_Distance_mm
1,pair,17,18,93,75,150.0,100.0,175.0,0.0,165.0,0.0,193.0,25.0,199.0,29.0,10.0,53.0,188.0
2,pair,15,16,53,4,199.0,29.0,155.0,0.0,145.0,0.0,174.0,10.0,176.0,65.0,10.0,86.0,169.0
3,pair,15,16,90,17,176.0,65.0,155.0,0.0,145.0,0.0,172.0,101.0,175.0,118.0,10.0,138.0,234.0
4,pair,21,22,66,42,175.0,118.0,215.0,0.0,205.0,0.0,222.0,120.0,236.0,118.0,10.0,143.0,311.0
5,pair,25,26,35,61,236.0,118.0,255.0,0.0,245.0,0.0,262.0,40.0,249.0,104.0,10.0,124.0,271.0
6,pair,27,28,96,55,249.0,104.0,275.0,0.0,265.0,0.0,277.0,131.0,273.0,132.0,10.0,138.0,278.0
7,pair,25,26,98,86,273.0,132.0,255.0,0.0,245.0,0.0,252.0,119.0,262.0,171.0,10.0,184.0,344.0
8,pair,19,20,60,18,262.0,171.0,195.0,0.0,185.0,0.0,213.0,76.0,201.0,137.0,10.0,167.0,415.0
9,pair,21,22,73,89,201.0,137.0,215.0,0.0,205.0,0.0,234.0,44.0,216.0,154.0,10.0,191.0,352.0
10,pair,19,20,44,50,216.0,154.0,195.0,0.0,185.0,0.0,204.0,207.0,214.0,212.0,10.0,231.0,416.0
11,pair,3,4,76,28,214.0,212.0,35.0,0.0,25.0,0.0,43.0,52.0,40.0,64.0,10.0,75.0,476.0
12,pair,1,2,48,77,40.0,64.0,15.0,0.0,5.0,0.0,18.0,99.0,11.0,99.0,10.0,109.0,208.0
13,pair,1,2,39,13,11.0,99.0,15.0,0.0,5.0,0.0,18.0,87.0,17.0,126.0,10.0,130.0,243.0
14,pair,1,2,91,46,17.0,126.0,15.0,0.0,5.0,0.0,12.0,130.0,20.0,182.0,10.0,193.0,331.0
15,pair,5,6,57,32,20.0,182.0,55.0,0.0,45.0,0.0,88.0,39.0,49.0,87.0,10.0,159.0,386.0
16,pair,5,6,49,65,49.0,87.0,55.0,0.0,45.0,0.0,61.0,137.0,83.0,120.0,10.0,182.0,285.0
17,pair,9,10,19,62,83.0,120.0,95.0,0.0,85.0,0.0,110.0,76.0,131.0,114.0,10.0,150.0,292.0
18,pair,13,14,67,43,131.0,114.0,135.0,0.0,125.0,0.0,151.0,154.0,163.0,149.0,10.0,187.0,315.0
19,pair,11,12,71,11,163.0,149.0,115.0,0.0,105.0,0.0,143.0,121.0,135.0,146.0,10.0,182.0,389.0
20,pair,9,10,95,27,135.0,146.0,95.0,0.0,85.0,0.0,113.0,23.0,122.0,136.0,10.0,163.0,359.0
21,pair,11,12,7,92,122.0,136.0,115.0,0.0,105.0,0.0,151.0,123.0,134.0,148.0,10.0,201.0,354.0
22,pair,11,12,63,8,134.0,148.0,115.0,0.0,105.0,0.0,141.0,164.0,147.0,199.0,10.0,231.0,408.0
23,pair,9,10,99,5,147.0,199.0,95.0,0.0,85.0,0.0,113.0,183.0,111.0,195.0,10.0,215.0,476.0
24,pair,7,8,47,33,111.0,195.0,75.0,0.0,65.0,0.0,93.0,172.0,106.0,200.0,10.0,231.0,472.0
25,pair,3,4,34,3,106.0,200.0,35.0,0.0,25.0,0.0,40.0,198.0,45.0,199.0,10.0,209.0,490.0
26,pair,3,4,23,70,45.0,199.0,25.0,0.0,35.0,0.0,29.0,167.0,45.0,215.0,10.0,235.0,464.0
27,pair,3,4,36,1,45.0,215.0,35.0,0.0,25.0,0.0,32.0,123.0,45.0,258.0,10.0,274.0,509.0
28,pair,7,8,82,10,45.0,258.0,75.0,0.0,65.0,0.0,88.0,47.0,107.0,240.0,10.0,272.0,570.0
29,pair,9,10,38,72,107.0,240.0,95.0,0.0,85.0,0.0,121.0,213.0,110.0,247.0,10.0,284.0,546.0
30,pair,13,14,88,58,110.0,247.0,135.0,0.0,125.0,0.0,164.0,166.0,163.0,242.0,10.0,272.0,554.0
31,pair,17,18,68,20,163.0,242.0,175.0,0.0,165.0,0.0,193.0,196.0,185.0,233.0,10.0,259.0,523.0
32,pair,19,20,16,51,185.0,233.0,195.0,0.0,185.0,0.0,199.0,256.0,215.0,262.0,10.0,282.0,535.0
33,pair,21,22,74,41,215.0,262.0,215.0,0.0,205.0,0.0,232.0,22.0,219.0,245.0,10.0,275.0,547.0
34,pair,23,24,83,97,219.0,245.0,235.0,0.0,225.0,0.0,238.0,188.0,246.0,245.0,10.0,256.0,527.0
35,pair,29,30,24,12,246.0,245.0,285.0,0.0,295.0,0.0,288.0,179.0,285.0,225.0,10.0,231.0,525.0
36,pair,27,28,80,45,285.0,225.0,275.0,0.0,265.0,0.0,278.0,162.0,265.0,247.0,10.0,263.0,508.0
37,pair,27,28,37,84,265.0,247.0,275.0,0.0,265.0,0.0,275.0,85.0,265.0,255.0,10.0,265.0,532.0
38,pair,25,26,52,9,265.0,255.0,255.0,0.0,245.0,0.0,260.0,214.0,260.0,276.0,10.0,281.0,556.0
39,pair,23,24,56,21,260.0,276.0,235.0,0.0,225.0,0.0,237.0,132.0,241.0,261.0,10.0,267.0,578.0
40,pair,23,24,6,2,241.0,261.0,235.0,0.0,225.0,0.0,239.0,25.0,248.0,276.0,10.0,289.0,566.0
41,pair,29,30,59,14,248.0,276.0,295.0,0.0,285.0,0.0,291.0,99.0,288.0,287.0,10.0,294.0,627.0
42,pair,29,30,81,87,288.0,287.0,285.0,0.0,295.0,0.0,290.0,32.0,279.0,295.0,10.0,311.0,611.0
43,pair,15,16,64,100,279.0,295.0,155.0,0.0,145.0,0.0,168.0,168.0,177.0,243.0,10.0,265.0,694.0
44,pair,17,18,25,85,177.0,243.0,175.0,0.0,165.0,0.0,194.0,48.0,178.0,288.0,10.0,323.0,578.0
45,pair,13,14,78,94,178.0,288.0,135.0,0.0,125.0,0.0,167.0,92.0,156.0,263.0,10.0,306.0,647.0
46,pair,7,8,79,31,156.0,263.0,75.0,0.0,65.0,0.0,92.0,8.0,101.0,261.0,10.0,287.0,641.0
47,pair,5,6,26,29,101.0,261.0,55.0,0.0,45.0,0.0,72.0,266.0,83.0,266.0,10.0,294.0,611.0
48,pair,7,8,40,69,83.0,266.0,75.0,0.0,65.0,0.0,104.0,265.0,94.0,281.0,10.0,320.0,604.0
49,pair,1,2,54,22,94.0,281.0,15.0,0.0,5.0,0.0,25.0,201.0,10.0,270.0,10.0,295.0,665.0
50,pair,5,6,30,15,10.0,270.0,55.0,0.0,45.0,0.0,80.0,226.0,60.0,292.0,10.0,337.0,662.0
